"","2016","2017","2018","2019","2020","2021","2022","2023"
"All",2429400,2367152,2186724,1967649,1790242,1636572,1333787,1163259
"15 - 29",520356,493880,442702,387636,340758,301118,239906,198206
"30 - 44",581463,574506,534537,485531,447963,418309,341546,299084
"45 - 55",378590,362739,326776,286679,255997,232529,189747,167110
"Age 55+",948991,936027,882709,807803,745524,684616,562588,498859
"NHW",1677768,1632178,1496110,1349311,1217751,1104051,890397,770102
"NHB",0,0,0,0,0,0,0,0
"Hispanic",17783,15513,7801,5694,3080,365,21,1
"AAPI",47698,47224,44817,39742,35508,32262,24038,20420
"HIVTest2",872471,890316,843044,778070,723278,672091,549328,476344
"anySTI2",350346,340229,314198,290337,265341,245124,191383,171557
"Syph",4791,4765,4554,4247,3913,3691,3213,2832
"Chlamydia",14681,14022,12723,11360,10157,9205,7196,6343
"Gonorrhoea",30716,31546,30766,31697,32219,31363,26663,24932
"Trichomoniasis",14054,13087,11723,10177,8931,8109,6659,5334
"OtherSTI",325502,316730,293094,271780,248923,230174,179183,161293
"PWID2",1334154,1274133,1166698,1048384,945740,852213,699788,607878
"Other2",329997,309639,273010,211382,186048,170436,138977,117934
"HIVany2",0,0,0,0,0,0,0,0
"STIany2",191064,187539,175127,160276,148175,137243,110673,97072
"2HR2",395825,387984,356894,314272,287757,264283,213983,182391
"3HR2",79861,77337,70312,61205,56226,52174,43441,37283
"Unknown age",NA,NA,NA,NA,NA,NA,NA,NA
"Other or Unknown",686151,672237,637996,572902,533903,499894,419331,372736
