"","2016","2017","2018","2019","2020","2021","2022","2023"
"All",4001030,4002030,4003030,4004030,4005030,4006030,4007030,4008030
"15 - 29",4001001,4002001,4003001,4004001,4005001,4006001,4007001,4008001
"30 - 44",4001002,4002002,4003002,4004002,4005002,4006002,4007002,4008002
"45 - 55",4001003,4002003,4003003,4004003,4005003,4006003,4007003,4008003
"Age 55+",4001004,4002004,4003004,4004004,4005004,4006004,4007004,4008004
"White",4001005,4002005,4003005,4004005,4005005,4006005,4007005,4008005
"African American",4001007,4002007,4003007,4004007,4005007,4006007,4007007,4008007
"Hispanic",4001008,4002008,4003008,4004008,4005008,4006008,4007008,4008008
"Asian",4001006,4002006,4003006,4004006,4005006,4006006,4007006,4008006
"HIVTest2",4049030,4050030,4051030,4052030,4053030,4054030,4055030,4056030
"anySTI2",4113030,4114030,4115030,4116030,4117030,4118030,4119030,4120030
"Syph",4097030,4098030,4099030,4100030,4101030,4102030,4103030,4104030
"Chlamydia",4025030,4026030,4027030,4028030,4029030,4030030,4031030,4032030
"Gonorrhea",4033030,4034030,4035030,4036030,4037030,4038030,4039030,4040030
"Trichomoniasis",4105030,4106030,4107030,4108030,4109030,4110030,4111030,4112030
"OtherSTI",4073030,4074030,4075030,4076030,4077030,4078030,4079030,4080030
"PWID2",4081030,4082030,4083030,4084030,4085030,4086030,4087030,4088030
"Other2",4065030,4066030,4067030,4068030,4069030,4070030,4071030,4072030
"HIVany2",4057030,4058030,4059030,4060030,4061030,4062030,4063030,4064030
"STIany2",4089030,4090030,4091030,4092030,4093030,4094030,4095030,4096030
"2HR2",4009030,4010030,4011030,4012030,4013030,4014030,4015030,4016030
"3HR2",4017030,4018030,4019030,4020030,4021030,4022030,4023030,4024030
