"","2016","2017","2018","2019","2020","2021","2022","2023"
"All",1380286,1349711,1252092,1141346,1030223,936159,770957,677511
"15 - 29",191405,187090,170524,150771,130048,117840,95442,81888
"30 - 44",227412,222424,205846,186878,166590,153859,129043,112983
"45 - 55",240368,228047,204256,180938,158979,141847,116235,100602
"Age 55+",721101,712150,671466,622759,574606,522613,430237,382038
"White",976617,955232,880297,801649,720539,646291,523803,453474
"African American",124704,127988,125699,108995,98023,91048,77212,65819
"Hispanic",0,0,0,0,0,0,0,0
"Asian",22574,21938,21012,19542,17506,15811,12442,10935
"HIVTest2",366360,382925,369941,345611,314458,290909,240519,211078
"anySTI2",98380,97790,93136,86871,78622,74176,63006,57092
"Syph",8988,9795,10027,9879,9341,9156,8229,7432
"Chlamydia",5050,5695,5941,5985,5149,5642,5679,5320
"Gonorrhea",14311,15081,15298,15395,13714,13897,13252,12332
"Trichomoniasis",1213,1205,1155,860,749,647,593,466
"OtherSTI",89444,88141,83234,77437,69826,65514,54880,49611
"PWID2",1016916,974017,889963,803536,722175,649766,535126,468250
"Other2",89451,88775,85373,77719,69969,66469,58327,51346
"HIVany2",136034,139519,134286,124605,112812,104902,90095,78452
"STIany2",52359,53562,52186,49190,44282,42402,37137,33404
"2HR2",155379,157865,151186,139793,126380,117458,100432,87683
"3HR2",32726,33289,32693,30270,26943,25895,23740,20971
"Unknown age",NA,NA,NA,NA,NA,NA,NA,NA
"Other or Unknown",256391,244553,225084,211160,194155,183009,157500,147283
