"","2016","2017","2018","2019","2020","2021","2022","2023"
"All",5321,5992,3846,4390,3163,2694,1966,1883
"15 - 29",1313,1531,1013,1026,545,447,266,254
"30 - 44",2000,2327,1561,1799,1251,1051,691,675
"45 - 55",1256,1461,1144,1326,1106,919,720,703
"Age 55+",1427,1622,1088,1298,1067,984,792,712
"White",2094,2421,1220,1318,918,787,450,412
"African American",1289,1903,1717,1984,1399,1171,930,894
"Hispanic",0,0,0,0,0,0,0,0
"Asian",63,83,33,33,28,23,13,18
"HIVTest2",1683,2544,2867,3398,2576,2135,1495,1454
"anySTI2",663,793,796,876,530,424,369,335
"Syph",36,60,59,80,85,70,74,66
"Chlamydia",55,87,82,79,20,17,16,19
"Gonorrhea",249,235,233,238,82,52,44,43
"Trichomoniasis",47,73,69,73,25,20,19,12
"OtherSTI",579,651,667,730,439,349,285,264
"PWID2",3636,3642,1266,1399,922,820,672,584
"Other2",280,428,424,418,220,176,150,116
"HIVany2",640,998,1088,1278,848,666,553,466
"STIany2",459,729,696,795,483,356,304,282
"2HR2",788,1232,1257,1442,932,723,603,517
"3HR2",194,298,319,333,187,159,129,107
