"","2016","2017","2018","2019","2020","2021","2022","2023","modified_string"
"All",4001040,4002040,4003040,4004040,4005040,4006040,4007040,4008040,"4001030, 4002030, 4003030, 4004030, 4005030, 4006030, 4007030, 4008030"
"15 - 29",4001011,4002011,4003011,4004011,4005011,4006011,4007011,4008011,"4001001, 4002001, 4003001, 4004001, 4005001, 4006001, 4007001, 4008001"
"30 - 44",4001012,4002012,4003012,4004012,4005012,4006012,4007012,4008012,"4001002, 4002002, 4003002, 4004002, 4005002, 4006002, 4007002, 4008002"
"45 - 55",4001013,4002013,4003013,4004013,4005013,4006013,4007013,4008013,"4001003, 4002003, 4003003, 4004003, 4005003, 4006003, 4007003, 4008003"
"Age 55+",4001014,4002014,4003014,4004014,4005014,4006014,4007014,4008014,"4001004, 4002004, 4003004, 4004004, 4005004, 4006004, 4007004, 4008004"
"White",4001015,4002015,4003015,4004015,4005015,4006015,4007015,4008015,"4001005, 4002005, 4003005, 4004005, 4005005, 4006005, 4007005, 4008005"
"African American",4001017,4002017,4003017,4004017,4005017,4006017,4007017,4008017,"4001007, 4002007, 4003007, 4004007, 4005007, 4006007, 4007007, 4008007"
"Hispanic",4001018,4002018,4003018,4004018,4005018,4006018,4007018,4008018,"4001008, 4002008, 4003008, 4004008, 4005008, 4006008, 4007008, 4008008"
"Asian",4001016,4002016,4003016,4004016,4005016,4006016,4007016,4008016,"4001006, 4002006, 4003006, 4004006, 4005006, 4006006, 4007006, 4008006"
"HIVTest2",4049040,4050040,4051040,4052040,4053040,4054040,4055040,4056040,"4049030, 4050030, 4051030, 4052030, 4053030, 4054030, 4055030, 4056030"
"anySTI2",4113040,4114040,4115040,4116040,4117040,4118040,4119040,4120040,"4113030, 4114030, 4115030, 4116030, 4117030, 4118030, 4119030, 4120030"
"Syph",4097040,4098040,4099040,4100040,4101040,4102040,4103040,4104040,"4097030, 4098030, 4099030, 4100030, 4101030, 4102030, 4103030, 4104030"
"Chlamydia",4025040,4026040,4027040,4028040,4029040,4030040,4031040,4032040,"4025030, 4026030, 4027030, 4028030, 4029030, 4030030, 4031030, 4032030"
"Gonorrhea",4033040,4034040,4035040,4036040,4037040,4038040,4039040,4040040,"4033030, 4034030, 4035030, 4036030, 4037030, 4038030, 4039030, 4040030"
"Trichomoniasis",4105040,4106040,4107040,4108040,4109040,4110040,4111040,4112040,"4105030, 4106030, 4107030, 4108030, 4109030, 4110030, 4111030, 4112030"
"OtherSTI",4073040,4074040,4075040,4076040,4077040,4078040,4079040,4080040,"4073030, 4074030, 4075030, 4076030, 4077030, 4078030, 4079030, 4080030"
"PWID2",4081040,4082040,4083040,4084040,4085040,4086040,4087040,4088040,"4081030, 4082030, 4083030, 4084030, 4085030, 4086030, 4087030, 4088030"
"Other2",4065040,4066040,4067040,4068040,4069040,4070040,4071040,4072040,"4065030, 4066030, 4067030, 4068030, 4069030, 4070030, 4071030, 4072030"
"HIVany2",4057040,4058040,4059040,4060040,4061040,4062040,4063040,4064040,"4057030, 4058030, 4059030, 4060030, 4061030, 4062030, 4063030, 4064030"
"STIany2",4089040,4090040,4091040,4092040,4093040,4094040,4095040,4096040,"4089030, 4090030, 4091030, 4092030, 4093030, 4094030, 4095030, 4096030"
"2HR2",4009040,4010040,4011040,4012040,4013040,4014040,4015040,4016040,"4009030, 4010030, 4011030, 4012030, 4013030, 4014030, 4015030, 4016030"
"3HR2",4017040,4018040,4019040,4020040,4021040,4022040,4023040,4024040,"4017030, 4018030, 4019030, 4020030, 4021030, 4022030, 4023030, 4024030"
