"","2016","2017","2018","2019","2020","2021","2022","2023"
"All",8250,10196,9851,11831,9850,9165,8107,8015
"15 - 29",1864,2355,2268,2685,2162,1984,1726,1677
"30 - 44",2912,3788,3928,4820,4068,3946,3554,3383
"45 - 55",2299,2918,3018,3582,2969,2692,2309,2214
"Age 55+",2417,2967,2884,3436,3062,2823,2467,2456
"White",3478,4445,4111,4900,4028,3699,3171,3077
"African American",1682,2610,2927,3481,2955,2664,2376,2238
"Hispanic",0,0,0,0,0,0,0,0
"Asian",144,207,229,262,196,217,216,208
"HIVTest2",4992,7027,8131,9808,8333,7833,6928,6903
"anySTI2",2393,3153,3612,4271,3764,3707,3405,3252
"Syph",1170,1715,2121,2584,2412,2454,2277,2160
"Chlamydia",615,790,987,1127,988,1081,1069,1049
"Gonorrhea",1014,1224,1370,1552,1366,1392,1298,1208
"Trichomoniasis",5,6,8,8,8,5,3,2
"OtherSTI",1500,1795,1869,2165,1831,1740,1587,1492
"PWID2",4701,4847,3655,4135,3317,3092,2781,2512
"Other2",1250,1673,2188,2530,2102,2289,2156,2049
"HIVany2",2772,3827,4586,5391,4624,4626,4247,4006
"STIany2",2164,2870,3318,3836,3406,3405,3142,2997
"2HR2",3050,4091,4808,5620,4796,4750,4357,4093
"3HR2",1395,1695,2072,2379,2072,2142,2008,1880
